City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,61.48,few clouds,-46.1927,168.8643,Ellie's Villa
1,Half Moon Bay,US,63.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
2,Moose Factory,CA,19.4,clear sky,51.2585,-80.6094,Moosonee Lilypad
3,Kargasok,RU,26.37,broken clouds,59.0556,80.8572,Hotel Kargasok
4,Busselton,AU,61.97,overcast clouds,-33.65,115.3333,Observatory Guest House
5,Lebu,CL,52.61,few clouds,-37.6167,-73.65,Hostal Las Lilas
6,Brigantine,US,48.02,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
7,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Naze,JP,70.72,scattered clouds,28.3667,129.4833,Shishime Hotel
9,Punta Arenas,CL,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
10,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
11,Bredasdorp,ZA,60.39,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Honiara,SB,86.11,broken clouds,-9.4333,159.95,Heritage Park Hotel
14,Naduvattam,IN,55.44,clear sky,11.4833,76.5667,"United-21 Paradise, Ooty"
17,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Vilhena,BR,68.04,scattered clouds,-12.7406,-60.1458,Hotel Mirage
19,Tromso,NO,42.82,light rain,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
20,Mar Del Plata,AR,64.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Coxim,BR,67.89,clear sky,-18.5067,-54.76,Hotel Avenida
23,Takoradi,GH,79.23,light rain,4.8845,-1.7554,Raybow International Hotel
24,Kamaishi,JP,55.18,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
25,Hermanus,ZA,61.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Yellowknife,CA,19.92,few clouds,62.456,-114.3525,The Explorer Hotel
