City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,61.48,48,12,2.86,few clouds
1,Half Moon Bay,US,37.4636,-122.4286,63.91,63,0,13.8,clear sky
2,Moose Factory,CA,51.2585,-80.6094,19.4,73,0,4.61,clear sky
3,Kargasok,RU,59.0556,80.8572,26.37,76,53,9.84,broken clouds
4,Busselton,AU,-33.65,115.3333,61.97,61,91,3.78,overcast clouds
5,Lebu,CL,-37.6167,-73.65,52.61,91,18,7.83,few clouds
6,Brigantine,US,39.4101,-74.3646,48.02,50,0,4.61,clear sky
7,Vaini,TO,-21.2,-175.2,86.16,79,75,6.91,broken clouds
8,Naze,JP,28.3667,129.4833,70.72,58,32,7.81,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,12.66,broken clouds
10,Avarua,CK,-21.2078,-159.775,80.65,74,100,4.61,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,60.39,91,100,4.03,overcast clouds
12,Honiara,SB,-9.4333,159.95,86.11,68,51,8.21,broken clouds
13,Beloha,MG,-25.1667,45.05,72.79,90,100,10.54,overcast clouds
14,Naduvattam,IN,11.4833,76.5667,55.44,87,1,1.81,clear sky
15,Vanavara,RU,60.34,102.2797,35.4,77,100,11.99,overcast clouds
16,Saskylakh,RU,71.9167,114.0833,28.8,96,100,11.03,light snow
17,Kapaa,US,22.0752,-159.319,80.58,80,40,18.41,scattered clouds
18,Vilhena,BR,-12.7406,-60.1458,68.04,95,33,3.22,scattered clouds
19,Tromso,NO,69.6496,18.957,42.82,75,100,14.97,light rain
20,Mar Del Plata,AR,-38.0023,-57.5575,64.09,90,0,11.99,clear sky
21,Albany,US,42.6001,-73.9662,40.64,63,7,7.16,clear sky
22,Coxim,BR,-18.5067,-54.76,67.89,46,0,3.67,clear sky
23,Takoradi,GH,4.8845,-1.7554,79.23,86,100,6.87,light rain
24,Kamaishi,JP,39.2667,141.8833,55.18,55,100,11.41,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,61.81,81,100,13.44,overcast clouds
26,Yellowknife,CA,62.456,-114.3525,19.92,49,20,12.66,few clouds
27,Kavieng,PG,-2.5744,150.7967,85.71,65,30,14.0,scattered clouds
28,Qasigiannguit,GL,68.8193,-51.1922,16.05,91,100,6.8,overcast clouds
29,Divo,CI,5.8397,-5.36,71.87,97,92,2.13,overcast clouds
30,Vila Velha,BR,-20.3297,-40.2925,75.15,81,40,11.5,scattered clouds
31,Mahebourg,MU,-20.4081,57.7,77.29,94,75,5.75,shower rain
32,Jamestown,US,42.097,-79.2353,35.24,49,0,5.75,clear sky
33,Deori Khas,IN,23.4,79.0167,82.94,19,5,4.63,clear sky
34,Rikitea,PF,-23.1203,-134.9692,78.48,63,2,10.67,clear sky
35,Portland,US,45.5234,-122.6762,58.08,49,100,10.36,overcast clouds
36,Thompson,CA,55.7435,-97.8558,32.16,32,75,2.3,broken clouds
37,Lompoc,US,34.6391,-120.4579,66.56,70,0,23.0,clear sky
